time,x,y,z
29074,8.17875,-2.39282,32.82776
29122,5.51134,-2.86354,0.11654
29184,5.07984,-4.47183,-2.52521
29223,10.45389,-3.09890,-1.78706
29272,2.49089,-0.35304,11.11093
29322,10.53234,9.49284,24.35858
29372,1.43177,12.12102,1.20432
29423,-5.70747,5.49172,11.53826
29473,0.05884,6.55084,-2.09787
29524,-3.23619,9.13980,10.25624
29573,-7.47267,9.76742,10.99438
29622,-3.07929,8.82598,19.50240
29673,-4.17763,5.57018,16.12250
29723,12.45444,4.04034,3.65184
29773,-1.15718,-3.49117,11.18863
29823,10.61080,-3.02045,-1.51513
29873,-1.11796,-3.84421,2.79715
29922,5.55056,3.76575,8.46916
29972,4.49145,12.47406,5.59431
30023,0.41188,6.11935,13.90808
30072,1.47100,7.02156,3.84608
30123,-2.05940,7.68841,9.90659
30189,-1.78481,8.55140,8.39147
30229,-1.58868,9.76742,15.61745
30274,-0.17652,10.39505,-3.26334
30323,2.13785,0.00000,21.48372
30373,6.41355,-0.31381,1.39857
30423,3.27542,-3.25581,8.43031
30472,3.70691,-3.84421,1.43741
30523,2.25553,-1.72597,6.29360
30574,5.19752,8.98289,8.93535
30623,0.29420,8.98289,16.47215
30673,-4.49145,8.74753,8.89651
30723,0.72569,10.63041,-2.13671
30773,-0.21575,4.31493,3.76839
30822,-3.51078,5.64863,7.53677
30872,-4.21686,11.96411,23.65928
30927,0.52956,12.19947,4.70078
30975,3.11851,1.05912,15.88941
31023,1.03950,-3.05967,2.17556
31073,10.49312,-4.98178,0.38848
31123,2.60857,-6.23703,8.39147
31179,3.70691,5.02100,12.74260
31224,6.80582,12.23870,15.15127
31272,1.66713,6.47239,21.40602
31323,0.01961,8.43372,-0.42733
31373,-2.96161,7.68841,3.37988
31426,-8.96328,7.45305,9.82890
31474,-2.29476,8.43372,15.73401
31526,-3.74614,12.47406,-0.50504
31573,7.59035,-0.39227,17.24914
31629,3.58923,-3.49117,10.41164
31675,8.37488,-1.56906,-1.47626
31723,1.78481,-5.49172,9.63465
31773,3.51078,0.00000,5.40005
31823,10.41466,12.39561,9.36270
31877,-1.39254,9.21825,19.77435
31923,-1.58868,9.10057,15.88941
31973,-1.66713,8.39449,-1.24317
32023,-6.09974,6.90388,8.39147
32072,-2.41244,7.10001,13.40304
32125,-2.17708,9.37516,19.77435
32189,1.31409,3.76575,14.56852
32223,2.09862,1.68674,5.12812
32273,4.05995,-0.58840,-3.72953
32323,6.25664,-7.92377,8.81881
32373,6.49200,-4.04034,-2.79715
32426,7.66880,0.11768,-2.05901
32472,1.70636,10.86577,11.30517
32522,6.64891,8.74753,6.56555
32573,-2.37321,5.45250,8.11952
32623,-4.96216,7.10001,5.98279
32672,-6.33510,6.11935,12.43181
32722,-3.55001,10.70886,18.53116
32772,12.49367,4.23647,24.70822
32823,0.60801,3.37349,0.85467
32873,3.39310,-0.66685,-0.73813
32923,5.23675,-4.86410,7.10944
